"Proteins","Genes","Pro_Cerebellum","Pro_Frontal_Cortex","Pro_Heart","Pro_Kidney","Pro_Liver","Pro_Lung","Pro_Spleen","Pro_Amygdala","Pro_Entorhinal_Cortex","Pro_Gut","Pro_Olfactory_Bulb","Pro_Striatum","Pro_Thalamus","Pro_Substantia_Nigra"
"Q9D8L5","Ccdc91",3.48693591263506,3.04562553201579,-0.0526766958353225,3.3396490851833,1.00718585724491,2.26600745439956,1.75095854670565,3.47085034163824,3.13299231802788,2.71969950003385,3.78141416974902,2.63345101449003,3.19413365626189,3.4177383982245
"Q9D8N0","Eef1g",8.45491345263506,8.67624659201579,7.02276915416468,8.2242665051833,9.01827867724491,7.22615256439956,8.32805547670565,8.66656087163824,8.68739329802788,8.98915137003385,8.53753544974902,8.21164167449003,8.49322946626189,8.4537711682245
"Q9D8N2","Dennd10",3.84576208263506,3.71451174201579,1.13434921416468,4.0769641751833,3.54711160724491,3.18351446439956,3.92972118670565,3.71892180163824,3.77473243802788,4.01627769003385,3.95716350974902,3.05813073449003,3.56957822626189,3.6249803082245
"Q9D8P4","Mrpl17",2.65456543263506,3.17715311201579,1.13213569416468,4.0139018851833,2.67871099724491,-1.67628295860044,1.63469639670565,3.98347429163824,3.96356534802788,4.84570970003385,3.93031357974902,3.75097695449003,4.09317195626189,3.5744367082245
"Q9D8S3","Arfgap3",-0.801674652364943,-0.451708019984212,NA,NA,NA,NA,-0.783225254294348,-0.199382419361761,-0.11122987797212,NA,-0.274767690250978,-0.282435682509967,-0.145621229738106,-0.477287105775496
"Q9D8S4","Rexo2",5.55310349263506,4.88581737201579,3.98471527416468,5.4363923651833,4.80528208724491,4.89994515439956,5.47238048670565,5.33524328163824,5.08080525802788,6.06894768003385,5.53275276974902,4.96913856449003,5.20782302626189,5.3811315782245
"Q9D8S9","Bola1",6.42502115263506,6.06808259201579,5.80134813416468,6.8863806451833,6.59632316724491,5.37799447439956,5.58114698670565,6.24851048163824,6.09962202802788,5.94646147003385,6.42608591974902,6.27265642449003,6.38110198626189,6.4512009182245
"Q9D8T7","Slirp",5.77261832263506,5.88862223201579,6.70758313416468,7.1230322851833,6.65618428724491,3.75675527439956,4.55491533670565,6.12733235163824,6.00415880802788,6.62462866003385,5.89185589974902,6.01420415449003,6.09904076626189,6.0139930182245
"Q9D8U8","Snx5",5.60747888263506,5.93255222201579,3.72673129416468,6.4670079451833,6.16767972724491,5.78471861439956,7.13133620670565,6.20464170163824,6.15673209802788,6.73401381003385,5.97446001974902,5.92511797449003,6.17968107626189,6.1337857482245
"Q9D8W5","Psmd12",5.94338781263506,6.48585365201579,5.42853710416468,6.2922758351833,6.73395738724491,5.55970627439956,6.47207604670565,6.47195981163824,6.47579920802788,6.89219125003385,6.65294809974902,6.29377900449003,6.39739302626189,6.2642875582245
